,title,role,identification,reviewer,indicated value,ambiguity,note,sources
"in Derge (D), Narthang (N) or Pecing (P)",The main title in Tibetan,"possible values:
- author
- translator
- pandita
- sponsor (of translation)
- scribe
- translator2 (when two translations are indicated in the colophon)
- pandita2
- revisor
- revisorpandita
- revisionsponsor
- revisor2
- revisor2pandita
- revisor3
- revisor3pandita
- translationplace
- revisionplace
- reciter

Important note: translator2 is not just another translator who worked with the first translator, it's someone who reworked the translation at a later date, and thus didn't work with the initial translator","the ID of the identified person in the ""Persons"" sheet (this column is what Bruno did)",,The name as indicated in the colophon,add X in this column if the data is ambiguous,,"possible values are IDs from the source spreadsheet, ""colophon"" or ""karchak"""
D0001,dul ba gzhi,translator,P4259,,lo tsA ba ban de dpal gyi lhun po,,,
D0001,dul ba gzhi,translatorPandita,P8211,,rgya gar gyi mkhan po bi d+yA ka ra pra b+ha,,,
D0001,dul ba gzhi,translatorPandita,P8249,,kha che'i mkhan po d+ha rmA ka ra,,,
D0001,dul ba gzhi,translator,P8182,,zhu chen gyi lo ts+tsha ba ban de dpal brtsegs,,,
D0001,dul ba gzhi,translatorPandita,P00KG07267,,kha che'i mkhan po sa rba dz+nyA de ba,,,
D0002,so sor thar pa'i mdo,translatorPandita,P8209,,slob dpon dzi na mi tra,,,
D0002,so sor thar pa'i mdo,translator,P8183,,lo tsA ba ban de cog ro klu'i rgyal mtshan,,,
D0003,dul ba rnam par 'byed pa,translatorPandita,P8209,,kha che'i bye brag tu smra ba'i slob dpon dzi na mi tra,,,
D0003,dul ba rnam par 'byed pa,translator,P8183,,zhu chen gyi lots+tsha ba ban de klu'i rgyal mtshan,,,
D0004,dge slong ma'i so sor thar pa'i mdo,translatorPandita,P8209,,kha che bye brag tu smra ba'i slob dpon dzi na mi tra,,,
D0004,dge slong ma'i so sor thar pa'i mdo,translator,P8183,,zhu chen gyi lots+tsha ba cog ro klu'i rgyal mtshan,,,
