ID,title,role,identification,reviewer,value in Derge colophon,ambiguity,note,sources
in Derge (D),The main title in Tibetan,"possible values:
- author (A)
- translator (Tr)
- pandita (P)
- sponsor (of translation), Sp
- scribe, Sc
- translator2 (when two translations are indicated in the colophon), Tr2
- pandita2, P2
- revisor, R
- revisorpandita, RP
- revisionsponsor, RSp
- revisor2, R2
- revisor2pandita, R2P
- revisor3, R3
- revisor3pandita, R3P
- translationplace, TrPl
- revisionplace, RPl
- requesterOfTranslation","the ID of the identified person in the ""Persons"" sheet",,The name as indicated in the colophon of the Derge Tengyur,add X in this column if the data is ambiguous,a note in plain English,"possible values are IDs from the source spreadsheet, ""colophon"" or ""karchak"""
D1109,khyad par du 'phags pa'i bstod pa,author,P4CZ10507,,slob dpon mtho btsun grub rje,,,
D1109,khyad par du 'phags pa'i bstod pa,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nyA de wa,,,
D1109,khyad par du 'phags pa'i bstod pa,translator,P2JM5,,zhu chen gyi lo tsA ba ban de rin chen,,,
D1109,khyad par du 'phags pa'i bstod pa,translator2,P8182,,ban de dpal brtsegs rak+Shi ta,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,author,P2548,,slob dpon shes rab go cha,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,translatorPandita,P4CZ15568,,rgya gar gyi mkhan po paN+Di ta dzA ran da na,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,translationplace,G880,,dpal sa skya'i dgon pa,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,revisor,P4404,,,,,
D1111,thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba,author,P4CZ10507,,bram ze'i dge bsnyen mtho btsun grub rje,,,
D1111,thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba,translatorPandita,P4CZ15568,,rgya gar gyi mkhan po dzA ran da na,,,
D1111,thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1112,lha las phul du byung bar bstod pa,author,P4CZ10508,,slob dpon bde byed bdag po,,,
D1112,lha las phul du byung bar bstod pa,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nyA de wa,,,
D1112,lha las phul du byung bar bstod pa,translator,P2JM5,,lo tsA ba ban+de rin chen,,,
D1112,lha las phul du byung bar bstod pa,revisor,P8182,,zhu chen gyi lo tsA ba ban+de dpal brtsegs rak+Shi tas,,,
D1113,lha las phul du byung bar bstod pa'i rgya cher 'grel pa,author,P2548,,slob dpon shes rab go cha,,,
D1113,lha las phul du byung bar bstod pa'i rgya cher 'grel pa,translatorPandita,P4CZ15568,,rgya gar gyi mkhan po dzA ra na da na'i zhal snga nas,,,
D1113,lha las phul du byung bar bstod pa'i rgya cher 'grel pa,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1114,sangs rgyas kyi bstod pa zhes bya ba,author,P0AT0002,,phags ma nor rgyun ma,,,
D1114,sangs rgyas kyi bstod pa zhes bya ba,translator,P3963,,sgra'i mkhan po dpal rgyal ba'i bzang po,,,
D1114,sangs rgyas kyi bstod pa zhes bya ba,translator,P2147,,shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D1114,sangs rgyas kyi bstod pa zhes bya ba,translationplace,-,,rab tu bsngags pa'i gnas chen po bal po yam bu'i grong khyer,,,
D1115,chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa,author,P6117,,slob dpon thogs med,,,
D1115,chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
